code_commune_INSEE,nom_commune_complet,latitude,longitude,Population totale
10427,Ville-sur-Arce,48.1090387806,4.4449720869,207.0
10428,Ville-sur-Terre,48.3359047589,4.7348362857,104.0
10429,Villette-sur-Aube,48.5289053559,4.10868142527,252.0
10430,Villiers-Herbisse,48.6429563975,4.122661962,86.0
10431,Villiers-le-Bois,47.9552225736,4.19042875753,103.0
10432,Villiers-sous-Praslin,48.0606648453,4.25215912758,72.0
10433,Villy-en-Trodes,48.1969362165,4.38937663411,261.0
10434,Villy-le-Bois,48.1675453288,4.08980540279,58.0
10435,Villy-le-Maréchal,48.1889486496,4.07411625371,194.0
10436,Vinets,48.5452188766,4.22519162033,181.0
10437,Virey-sous-Bar,48.1344044788,4.30578605656,610.0
10438,Vitry-le-Croisé,48.1434911643,4.57858150099,224.0
10439,Viviers-sur-Artaut,48.097855701,4.49784658697,126.0
10440,Voigny,48.2360883713,4.76532474234,150.0
10441,Vosnon,48.1085969671,3.83539152599,232.0
10442,Voué,48.459643518,4.12408661799,708.0
10443,Vougrey,48.0875972332,4.23598090063,44.0
10444,Vulaines,48.2404690972,3.62649011278,229.0
10445,Yèvres-le-Petit,48.4793934797,4.49202256762,63.0
11001,Aigues-Vives,43.2351468241,2.5327825562,561.0
11002,Airoux,43.3676910136,1.87455000904,172.0
11003,Ajac,43.0449880503,2.13672463655,204.0
11004,Alaigne,43.0978286628,2.09203368421,342.0
11005,Alairac,43.1820306523,2.2370439206,1370.0
11006,Albas,43.0056644881,2.7267548127,80.0
11007,Albières,42.946718737,2.44639291505,123.0
11008,Alet-les-Bains,42.9943909775,2.25844650226,391.0
11009,Alzonne,43.2652998624,2.17459434048,1615.0
11010,Antugnac,42.9622347688,2.21863246536,274.0
11011,Aragon,43.298766565,2.30707240315,481.0
11012,Argeliers,43.3110246072,2.91115452781,2191.0
11013,Argens-Minervois,43.2458340699,2.77062357779,361.0
11014,Armissan,43.187641628,3.08927705991,1525.0
11015,Arques,42.9472177334,2.38719202465,264.0
11016,Arquettes-en-Val,43.1050377635,2.49669784552,83.0
11017,Artigues,42.7912861146,2.20717290807,76.0
11018,Arzens,43.2008547509,2.20537916173,1244.0
11019,Aunat,42.7889932939,2.10048727427,62.0
11020,Auriac,42.9256351469,2.4945438405,35.0
11021,Axat,42.7974645623,2.24059640574,522.0
11022,Azille,43.2737058086,2.65746942689,1146.0
11023,Badens,43.2207146123,2.50470148133,759.0
11024,Bages,43.1176416685,2.97718129024,797.0
11025,Bagnoles,43.2681435431,2.44889439842,311.0
11026,Baraigne,43.3308772937,1.82285483659,175.0
11027,Barbaira,43.1754326219,2.51471602722,815.0
11028,Belcaire,42.831546255,1.94592570583,383.0
11029,Belcastel-et-Buc,43.0278574306,2.34929567664,64.0
11030,Belflou,43.3189976269,1.798174168,120.0
11031,Belfort-sur-Rebenty,42.8301323698,2.04993539204,23.0
11032,Bellegarde-du-Razès,43.1076849546,2.05088227839,249.0
